,t,p0,p1,p2,p3
0,0.9999999999999999,[nan nan],[nan nan],[nan nan],[nan nan]
1,2.0000000000000004,[nan nan],[nan nan],[nan nan],[nan nan]
2,3.0000000000000013,[nan nan],[nan nan],[nan nan],[nan nan]
3,4.000000000000002,[nan nan],[nan nan],[nan nan],[nan nan]
4,4.999999999999998,[nan nan],[nan nan],[nan nan],[nan nan]
5,5.999999999999995,[nan nan],[nan nan],[nan nan],[nan nan]
6,6.999999999999991,[nan nan],[nan nan],[nan nan],[nan nan]
7,7.999999999999988,[nan nan],[nan nan],[nan nan],[nan nan]
8,8.999999999999984,[nan nan],[nan nan],[nan nan],[nan nan]
9,9.99999999999998,[nan nan],[nan nan],[nan nan],[nan nan]
10,10.999999999999977,[nan nan],[nan nan],[nan nan],[nan nan]
11,11.999999999999973,[nan nan],[nan nan],[nan nan],[nan nan]
12,12.99999999999997,[nan nan],[nan nan],[nan nan],[nan nan]
13,13.999999999999966,[nan nan],[nan nan],[nan nan],[nan nan]
14,14.999999999999963,[nan nan],[nan nan],[nan nan],[nan nan]
15,15.99999999999996,[nan nan],[nan nan],[nan nan],[nan nan]
16,16.99999999999997,[nan nan],[nan nan],[nan nan],[nan nan]
17,17.999999999999986,[nan nan],[nan nan],[nan nan],[nan nan]
18,19.0,[nan nan],[nan nan],[nan nan],[nan nan]
19,20.000000000000014,[nan nan],[nan nan],[nan nan],[nan nan]
20,21.00000000000003,[nan nan],[nan nan],[nan nan],[nan nan]
21,22.000000000000043,[nan nan],[nan nan],[nan nan],[nan nan]
22,23.000000000000057,[nan nan],[nan nan],[nan nan],[nan nan]
23,24.00000000000007,[nan nan],[nan nan],[nan nan],[nan nan]
24,25.000000000000085,[nan nan],[nan nan],[nan nan],[nan nan]
25,26.0000000000001,[nan nan],[nan nan],[nan nan],[nan nan]
26,27.000000000000114,[nan nan],[nan nan],[nan nan],[nan nan]
27,28.000000000000128,[nan nan],[nan nan],[nan nan],[nan nan]
28,29.000000000000142,[nan nan],[nan nan],[nan nan],[nan nan]
29,30.000000000000156,[nan nan],[nan nan],[nan nan],[nan nan]
30,31.00000000000017,[nan nan],[nan nan],[nan nan],[nan nan]
31,32.000000000000185,[nan nan],[nan nan],[nan nan],[nan nan]
32,33.0000000000002,[nan nan],[nan nan],[nan nan],[nan nan]
33,34.00000000000021,[nan nan],[nan nan],[nan nan],[nan nan]
34,35.00000000000023,[nan nan],[nan nan],[nan nan],[nan nan]
35,36.00000000000024,[nan nan],[nan nan],[nan nan],[nan nan]
36,37.000000000000256,[nan nan],[nan nan],[nan nan],[nan nan]
37,38.00000000000027,[nan nan],[nan nan],[nan nan],[nan nan]
38,39.000000000000284,[nan nan],[nan nan],[nan nan],[nan nan]
39,40.0000000000003,[nan nan],[nan nan],[nan nan],[nan nan]
40,41.00000000000031,[nan nan],[nan nan],[nan nan],[nan nan]
41,42.00000000000033,[nan nan],[nan nan],[nan nan],[nan nan]
42,43.00000000000034,[nan nan],[nan nan],[nan nan],[nan nan]
43,44.000000000000355,[nan nan],[nan nan],[nan nan],[nan nan]
44,45.00000000000037,[nan nan],[nan nan],[nan nan],[nan nan]
45,46.000000000000384,[nan nan],[nan nan],[nan nan],[nan nan]
46,47.0000000000004,[nan nan],[nan nan],[nan nan],[nan nan]
47,48.00000000000041,[nan nan],[nan nan],[nan nan],[nan nan]
48,49.000000000000426,[nan nan],[nan nan],[nan nan],[nan nan]
49,50.00000000000044,[nan nan],[nan nan],[nan nan],[nan nan]
50,51.000000000000455,[nan nan],[nan nan],[nan nan],[nan nan]
51,52.00000000000047,[nan nan],[nan nan],[nan nan],[nan nan]
52,53.00000000000048,[nan nan],[nan nan],[nan nan],[nan nan]
53,54.0000000000005,[nan nan],[nan nan],[nan nan],[nan nan]
54,55.00000000000051,[nan nan],[nan nan],[nan nan],[nan nan]
55,56.000000000000526,[nan nan],[nan nan],[nan nan],[nan nan]
56,57.00000000000054,[nan nan],[nan nan],[nan nan],[nan nan]
57,58.000000000000554,[nan nan],[nan nan],[nan nan],[nan nan]
58,59.00000000000057,[nan nan],[nan nan],[nan nan],[nan nan]
59,60.00000000000058,[nan nan],[nan nan],[nan nan],[nan nan]
60,61.0000000000006,[nan nan],[nan nan],[nan nan],[nan nan]
61,62.00000000000061,[nan nan],[nan nan],[nan nan],[nan nan]
62,63.000000000000625,[nan nan],[nan nan],[nan nan],[nan nan]
63,64.00000000000064,[nan nan],[nan nan],[nan nan],[nan nan]
64,65.00000000000058,[nan nan],[nan nan],[nan nan],[nan nan]
65,66.00000000000053,[nan nan],[nan nan],[nan nan],[nan nan]
66,67.00000000000047,[nan nan],[nan nan],[nan nan],[nan nan]
67,68.00000000000041,[nan nan],[nan nan],[nan nan],[nan nan]
68,69.00000000000036,[nan nan],[nan nan],[nan nan],[nan nan]
69,70.0000000000003,[nan nan],[nan nan],[nan nan],[nan nan]
70,71.00000000000024,[nan nan],[nan nan],[nan nan],[nan nan]
71,72.00000000000018,[nan nan],[nan nan],[nan nan],[nan nan]
72,73.00000000000013,[nan nan],[nan nan],[nan nan],[nan nan]
73,74.00000000000007,[nan nan],[nan nan],[nan nan],[nan nan]
74,75.00000000000001,[nan nan],[nan nan],[nan nan],[nan nan]
75,75.99999999999996,[nan nan],[nan nan],[nan nan],[nan nan]
76,76.9999999999999,[nan nan],[nan nan],[nan nan],[nan nan]
77,77.99999999999984,[nan nan],[nan nan],[nan nan],[nan nan]
78,78.99999999999979,[nan nan],[nan nan],[nan nan],[nan nan]
79,79.99999999999973,[nan nan],[nan nan],[nan nan],[nan nan]
80,80.99999999999967,[nan nan],[nan nan],[nan nan],[nan nan]
81,81.99999999999962,[nan nan],[nan nan],[nan nan],[nan nan]
82,82.99999999999956,[nan nan],[nan nan],[nan nan],[nan nan]
83,83.9999999999995,[nan nan],[nan nan],[nan nan],[nan nan]
84,84.99999999999945,[nan nan],[nan nan],[nan nan],[nan nan]
85,85.99999999999939,[nan nan],[nan nan],[nan nan],[nan nan]
86,86.99999999999933,[nan nan],[nan nan],[nan nan],[nan nan]
87,87.99999999999928,[nan nan],[nan nan],[nan nan],[nan nan]
88,88.99999999999922,[nan nan],[nan nan],[nan nan],[nan nan]
89,89.99999999999916,[nan nan],[nan nan],[nan nan],[nan nan]
90,90.9999999999991,[nan nan],[nan nan],[nan nan],[nan nan]
91,91.99999999999905,[nan nan],[nan nan],[nan nan],[nan nan]
92,92.99999999999899,[nan nan],[nan nan],[nan nan],[nan nan]
93,93.99999999999893,[nan nan],[nan nan],[nan nan],[nan nan]
94,94.99999999999888,[nan nan],[nan nan],[nan nan],[nan nan]
95,95.99999999999882,[nan nan],[nan nan],[nan nan],[nan nan]
96,96.99999999999876,[nan nan],[nan nan],[nan nan],[nan nan]
97,97.9999999999987,[nan nan],[nan nan],[nan nan],[nan nan]
98,98.99999999999865,[nan nan],[nan nan],[nan nan],[nan nan]
99,99.9999999999986,[nan nan],[nan nan],[nan nan],[nan nan]
100,100.99999999999854,[nan nan],[nan nan],[nan nan],[nan nan]
101,101.99999999999848,[nan nan],[nan nan],[nan nan],[nan nan]
102,102.99999999999842,[nan nan],[nan nan],[nan nan],[nan nan]
103,103.99999999999837,[nan nan],[nan nan],[nan nan],[nan nan]
104,104.99999999999831,[nan nan],[nan nan],[nan nan],[nan nan]
105,105.99999999999825,[nan nan],[nan nan],[nan nan],[nan nan]
106,106.9999999999982,[nan nan],[nan nan],[nan nan],[nan nan]
107,107.99999999999814,[nan nan],[nan nan],[nan nan],[nan nan]
108,108.99999999999808,[nan nan],[nan nan],[nan nan],[nan nan]
109,109.99999999999802,[nan nan],[nan nan],[nan nan],[nan nan]
110,110.99999999999797,[nan nan],[nan nan],[nan nan],[nan nan]
111,111.99999999999791,[nan nan],[nan nan],[nan nan],[nan nan]
112,112.99999999999785,[nan nan],[nan nan],[nan nan],[nan nan]
113,113.9999999999978,[nan nan],[nan nan],[nan nan],[nan nan]
114,114.99999999999774,[nan nan],[nan nan],[nan nan],[nan nan]
115,115.99999999999768,[nan nan],[nan nan],[nan nan],[nan nan]
116,116.99999999999763,[nan nan],[nan nan],[nan nan],[nan nan]
117,117.99999999999757,[nan nan],[nan nan],[nan nan],[nan nan]
118,118.99999999999751,[nan nan],[nan nan],[nan nan],[nan nan]
119,119.99999999999746,[nan nan],[nan nan],[nan nan],[nan nan]
120,120.9999999999974,[nan nan],[nan nan],[nan nan],[nan nan]
121,121.99999999999734,[nan nan],[nan nan],[nan nan],[nan nan]
122,122.99999999999729,[nan nan],[nan nan],[nan nan],[nan nan]
123,123.99999999999723,[nan nan],[nan nan],[nan nan],[nan nan]
124,124.99999999999717,[nan nan],[nan nan],[nan nan],[nan nan]
125,125.99999999999712,[nan nan],[nan nan],[nan nan],[nan nan]
126,126.99999999999706,[nan nan],[nan nan],[nan nan],[nan nan]
127,127.999999999997,[nan nan],[nan nan],[nan nan],[nan nan]
128,128.99999999999696,[nan nan],[nan nan],[nan nan],[nan nan]
129,129.9999999999969,[nan nan],[nan nan],[nan nan],[nan nan]
130,130.99999999999685,[nan nan],[nan nan],[nan nan],[nan nan]
131,131.9999999999968,[nan nan],[nan nan],[nan nan],[nan nan]
132,132.99999999999673,[nan nan],[nan nan],[nan nan],[nan nan]
133,133.99999999999667,[nan nan],[nan nan],[nan nan],[nan nan]
134,134.99999999999662,[nan nan],[nan nan],[nan nan],[nan nan]
135,135.99999999999656,[nan nan],[nan nan],[nan nan],[nan nan]
136,136.9999999999965,[nan nan],[nan nan],[nan nan],[nan nan]
137,137.99999999999645,[nan nan],[nan nan],[nan nan],[nan nan]
138,138.9999999999964,[nan nan],[nan nan],[nan nan],[nan nan]
139,139.99999999999633,[nan nan],[nan nan],[nan nan],[nan nan]
140,140.99999999999628,[nan nan],[nan nan],[nan nan],[nan nan]
141,141.99999999999622,[nan nan],[nan nan],[nan nan],[nan nan]
142,142.99999999999616,[nan nan],[nan nan],[nan nan],[nan nan]
143,143.9999999999961,[nan nan],[nan nan],[nan nan],[nan nan]
144,144.99999999999605,[nan nan],[nan nan],[nan nan],[nan nan]
145,145.999999999996,[nan nan],[nan nan],[nan nan],[nan nan]
146,146.99999999999594,[nan nan],[nan nan],[nan nan],[nan nan]
147,147.99999999999588,[nan nan],[nan nan],[nan nan],[nan nan]
148,148.99999999999582,[nan nan],[nan nan],[nan nan],[nan nan]
149,149.99999999999577,[nan nan],[nan nan],[nan nan],[nan nan]
150,150.9999999999957,[nan nan],[nan nan],[nan nan],[nan nan]
151,151.99999999999565,[nan nan],[nan nan],[nan nan],[nan nan]
152,152.9999999999956,[nan nan],[nan nan],[nan nan],[nan nan]
153,153.99999999999554,[nan nan],[nan nan],[nan nan],[nan nan]
154,154.99999999999548,[nan nan],[nan nan],[nan nan],[nan nan]
155,155.99999999999542,[nan nan],[nan nan],[nan nan],[nan nan]
156,156.99999999999537,[nan nan],[nan nan],[nan nan],[nan nan]
157,157.9999999999953,[nan nan],[nan nan],[nan nan],[nan nan]
158,158.99999999999525,[nan nan],[nan nan],[nan nan],[nan nan]
159,159.9999999999952,[nan nan],[nan nan],[nan nan],[nan nan]
160,160.99999999999514,[nan nan],[nan nan],[nan nan],[nan nan]
161,161.99999999999508,[nan nan],[nan nan],[nan nan],[nan nan]
162,162.99999999999503,[nan nan],[nan nan],[nan nan],[nan nan]
163,163.99999999999497,[nan nan],[nan nan],[nan nan],[nan nan]
164,164.9999999999949,[nan nan],[nan nan],[nan nan],[nan nan]
165,165.99999999999486,[nan nan],[nan nan],[nan nan],[nan nan]
166,166.9999999999948,[nan nan],[nan nan],[nan nan],[nan nan]
167,167.99999999999474,[nan nan],[nan nan],[nan nan],[nan nan]
168,168.99999999999469,[nan nan],[nan nan],[nan nan],[nan nan]
169,169.99999999999463,[nan nan],[nan nan],[nan nan],[nan nan]
170,170.99999999999457,[nan nan],[nan nan],[nan nan],[nan nan]
171,171.99999999999451,[nan nan],[nan nan],[nan nan],[nan nan]
172,172.99999999999446,[nan nan],[nan nan],[nan nan],[nan nan]
173,173.9999999999944,[nan nan],[nan nan],[nan nan],[nan nan]
174,174.99999999999434,[nan nan],[nan nan],[nan nan],[nan nan]
175,175.9999999999943,[nan nan],[nan nan],[nan nan],[nan nan]
176,176.99999999999423,[nan nan],[nan nan],[nan nan],[nan nan]
177,177.99999999999417,[nan nan],[nan nan],[nan nan],[nan nan]
178,178.99999999999412,[nan nan],[nan nan],[nan nan],[nan nan]
179,179.99999999999406,[nan nan],[nan nan],[nan nan],[nan nan]
180,180.999999999994,[nan nan],[nan nan],[nan nan],[nan nan]
181,181.99999999999395,[nan nan],[nan nan],[nan nan],[nan nan]
182,182.9999999999939,[nan nan],[nan nan],[nan nan],[nan nan]
183,183.99999999999383,[nan nan],[nan nan],[nan nan],[nan nan]
184,184.99999999999378,[nan nan],[nan nan],[nan nan],[nan nan]
185,185.99999999999372,[nan nan],[nan nan],[nan nan],[nan nan]
186,186.99999999999366,[nan nan],[nan nan],[nan nan],[nan nan]
187,187.9999999999936,[nan nan],[nan nan],[nan nan],[nan nan]
188,188.99999999999355,[nan nan],[nan nan],[nan nan],[nan nan]
189,189.9999999999935,[nan nan],[nan nan],[nan nan],[nan nan]
190,190.99999999999343,[nan nan],[nan nan],[nan nan],[nan nan]
191,191.99999999999338,[nan nan],[nan nan],[nan nan],[nan nan]
192,192.99999999999332,[nan nan],[nan nan],[nan nan],[nan nan]
193,193.99999999999326,[nan nan],[nan nan],[nan nan],[nan nan]
194,194.9999999999932,[nan nan],[nan nan],[nan nan],[nan nan]
195,195.99999999999315,[nan nan],[nan nan],[nan nan],[nan nan]
196,196.9999999999931,[nan nan],[nan nan],[nan nan],[nan nan]
197,197.99999999999304,[nan nan],[nan nan],[nan nan],[nan nan]
198,198.99999999999298,[nan nan],[nan nan],[nan nan],[nan nan]
199,199.99999999999292,[nan nan],[nan nan],[nan nan],[nan nan]
200,200.99999999999287,[nan nan],[nan nan],[nan nan],[nan nan]
